loan_id,age,annual_income,employment_years,employment_type,credit_score_orig,credit_score_current,score_change,loan_type,loan_amount,outstanding_balance,credit_limit,drawn_balance,undrawn_balance,utilization_rate,remaining_months,interest_rate,debt_to_income,ltv_ratio,collateral_value,num_delinquencies,days_past_due,default_flag,recovery_rate,lgd_true,ead_true,ccf_true,pd_true,stage
LN000001,26,26521.18,5.7,Autonomo,854,801,-53,Pessoal,12208.59,4624.06,12208.59,4624.06,0.0,0.3788,18,0.2597,0.0732,2.0,354.52,0,0,0,0.1088,0.8912,4624.06,0.7334,0.009731,1
LN000002,60,38106.71,8.4,Servidor_Publico,740,774,34,Pessoal,9786.03,5594.45,9786.03,5594.45,0.0,0.5717,40,0.2494,0.0617,2.0,1337.26,0,0,0,0.0922,0.9078,5594.45,0.5657,0.004278,1
LN000003,54,64653.71,31.3,Servidor_Publico,690,583,-107,Cartao,18114.93,12932.13,14786.58,4677.01,10109.57,0.3163,23,0.2309,0.084,2.0,3291.97,0,0,0,0.0759,0.9241,10819.65,0.6076,0.007434,2
LN000004,43,36011.44,17.2,CLT,609,696,87,Imobiliario,88026.67,70558.18,88026.67,70558.18,0.0,0.8016,229,0.0734,0.8229,0.5359,131663.49,0,0,0,0.7659,0.2341,70558.18,0.5998,0.026777,1
LN000005,43,45209.47,19.1,CNPJ,544,458,-86,Veiculos,38995.72,27874.82,38995.72,27874.82,0.0,0.7148,59,0.1542,0.259,0.6327,44057.22,2,30,0,0.482,0.518,27874.82,0.6393,0.044934,2
LN000006,64,72177.46,12.3,CNPJ,613,708,95,Pessoal,20631.59,17597.28,20631.59,17597.28,0.0,0.8529,32,0.2969,0.1024,2.0,1959.46,3,15,0,0.1474,0.8526,17597.28,0.6423,0.025585,1
LN000007,26,43187.13,13.3,CNPJ,774,642,-132,Empresarial,62053.63,36725.53,14679.67,2409.1,12270.57,0.1641,37,0.1293,0.3572,2.0,8594.44,1,30,0,0.3816,0.6184,10060.38,0.6235,0.025681,2
LN000008,56,62751.56,11.5,CNPJ,710,740,30,Veiculos,31179.27,10648.03,31179.27,10648.03,0.0,0.3415,55,0.1387,0.0713,0.2931,36327.3,0,0,0,0.6153,0.3847,10648.03,0.5497,0.003777,1
LN000009,32,152553.94,9.2,CLT,771,686,-85,Imobiliario,195781.56,119131.91,195781.56,119131.91,0.0,0.6085,129,0.0991,0.328,0.4955,240446.52,1,30,0,0.7516,0.2484,119131.91,0.5693,0.00877,2
LN000010,26,48450.2,23.2,CLT,663,647,-16,Imobiliario,169652.8,100496.65,169652.8,100496.65,0.0,0.5924,337,0.1002,0.8712,0.4672,215107.34,1,30,0,0.6622,0.3378,100496.65,0.6232,0.085423,2
LN000011,48,116607.58,5.2,CNPJ,533,598,65,Empresarial,271571.38,152613.11,7653.23,4200.59,3452.64,0.5489,23,0.1596,0.5497,2.0,39190.2,0,0,0,0.3432,0.6568,6109.32,0.5528,0.029681,1
LN000012,70,77931.89,10.8,CNPJ,800,852,52,Imobiliario,383147.34,88528.23,383147.34,88528.23,0.0,0.2311,338,0.1285,0.4771,0.1815,487796.82,3,30,0,0.6815,0.3185,88528.23,0.636,0.016998,2
LN000013,58,20874.69,4.8,CLT,789,712,-77,Imobiliario,290202.6,228252.94,290202.6,228252.94,0.0,0.7865,187,0.1217,2.0,0.5804,393268.21,0,0,0,0.7448,0.2552,228252.94,0.7314,0.030858,1
LN000014,60,26465.86,10.1,Autonomo,674,613,-61,Cartao,8750.08,3186.69,8200.63,5376.47,2824.15,0.6556,42,0.324,0.0506,1.8771,1697.69,2,30,0,0.0702,0.9298,7367.33,0.7049,0.048094,2
LN000015,57,31513.23,7.9,CLT,722,589,-133,Empresarial,55760.18,32892.69,3095.13,1349.56,1745.58,0.436,19,0.2896,0.4384,2.0,3849.38,0,0,0,0.2436,0.7564,2440.32,0.6249,0.027146,2
LN000016,61,31081.17,3.9,CNPJ,715,565,-150,Veiculos,25364.36,23107.98,25364.36,23107.98,0.0,0.911,44,0.1908,0.3123,0.8481,27245.54,0,0,0,0.5814,0.4186,23107.98,0.6042,0.010287,2
LN000017,47,51088.34,18.2,Servidor_Publico,589,511,-78,Imobiliario,620308.53,155347.82,620308.53,155347.82,0.0,0.2504,338,0.0643,1.2771,0.1718,904189.53,0,0,0,0.8013,0.1987,155347.82,0.5439,0.063167,1
LN000018,28,80782.74,6.3,Servidor_Publico,616,536,-80,Veiculos,35563.41,28929.97,35563.41,28929.97,0.0,0.8135,80,0.1555,0.1504,0.7665,37742.06,0,0,0,0.7223,0.2777,28929.97,0.7754,0.004709,1
LN000019,63,122498.37,18.7,CLT,531,403,-128,Imobiliario,364118.09,205821.93,364118.09,205821.93,0.0,0.5653,145,0.1224,0.7057,0.4625,445019.29,3,60,1,0.7066,0.2934,205821.93,0.7902,0.543022,3
LN000020,44,66191.93,7.1,CLT,615,584,-31,Imobiliario,179002.95,89308.01,179002.95,89308.01,0.0,0.4989,268,0.0864,0.5667,0.3585,249103.97,0,0,0,0.5545,0.4455,89308.01,0.6541,0.019275,1
LN000021,47,40550.7,12.6,CLT,784,766,-18,Veiculos,42864.81,29347.75,42864.81,29347.75,0.0,0.6847,18,0.1029,0.304,0.5418,54170.09,0,0,0,0.5275,0.4725,29347.75,0.599,0.001296,1
LN000022,40,15000.0,21.9,CLT,759,743,-16,Cartao,8996.77,6187.91,9867.23,4570.76,5296.47,0.4632,19,0.388,0.1733,2.0,194.9,0,0,0,0.1128,0.8872,7757.23,0.6016,0.005875,1
LN000023,31,56720.06,9.2,CLT,722,647,-75,Imobiliario,425101.28,332370.53,425101.28,332370.53,0.0,0.7819,139,0.0957,2.0,0.6496,511674.94,0,0,0,0.715,0.285,332370.53,0.6874,0.033142,1
LN000024,68,55091.49,20.4,CNPJ,774,715,-59,Pessoal,11430.24,9221.67,11430.24,9221.67,0.0,0.8068,32,0.2633,0.0703,2.0,1005.71,1,15,0,0.0728,0.9272,9221.67,0.6582,0.016621,1
LN000025,61,61016.75,24.4,CNPJ,602,563,-39,Imobiliario,283486.79,94072.89,283486.79,94072.89,0.0,0.3318,217,0.121,0.6475,0.2613,360055.8,0,0,0,0.579,0.421,94072.89,0.5401,0.060934,1
LN000026,54,213001.86,8.7,CLT,497,543,46,Imobiliario,169420.57,60740.14,169420.57,60740.14,0.0,0.3585,190,0.0679,0.1198,0.2561,237202.53,0,0,0,0.7527,0.2473,60740.14,0.6809,0.007085,1
LN000027,42,121344.36,15.6,Servidor_Publico,629,563,-66,Imobiliario,421129.41,353457.51,421129.41,353457.51,0.0,0.8393,209,0.1009,1.2234,0.6048,584385.66,0,0,0,0.716,0.284,353457.51,0.5507,0.024198,1
LN000028,63,90245.55,27.1,CLT,639,498,-141,Imobiliario,295325.99,142057.43,295325.99,142057.43,0.0,0.481,115,0.1268,0.6611,0.3494,406520.29,1,15,0,0.828,0.172,142057.43,0.644,0.137976,2
LN000029,49,28988.37,6.2,Autonomo,737,697,-40,Imobiliario,639330.2,454248.75,639330.2,454248.75,0.0,0.7105,352,0.0723,2.0,0.561,809764.4,0,0,0,0.8073,0.1927,454248.75,0.7341,0.066702,1
LN000030,44,38814.66,6.5,CNPJ,716,668,-48,Imobiliario,304693.13,150660.25,304693.13,150660.25,0.0,0.4945,302,0.1072,1.6302,0.4007,375962.35,1,30,1,0.7145,0.2855,150660.25,0.5514,0.113503,3
LN000031,44,50937.31,9.3,CNPJ,781,644,-137,Imobiliario,286316.39,267545.5,286316.39,267545.5,0.0,0.9344,77,0.1293,2.0,0.6484,412646.78,2,30,0,0.6846,0.3154,267545.5,0.6223,0.188045,2
LN000032,33,32727.97,5.9,CLT,388,343,-45,Veiculos,19801.94,17364.78,19801.94,17364.78,0.0,0.8769,26,0.0863,0.2228,0.6656,26087.34,1,45,0,0.6104,0.3896,17364.78,0.6929,0.092964,2
LN000033,26,75004.39,3.2,CNPJ,546,464,-82,Imobiliario,345939.21,220933.61,345939.21,220933.61,0.0,0.6386,343,0.0709,1.2372,0.434,509046.06,0,0,1,0.8161,0.1839,220933.61,0.6738,0.1199,3
LN000034,49,68322.25,6.9,CLT,638,617,-21,Imobiliario,110102.9,64210.86,110102.9,64210.86,0.0,0.5832,357,0.0679,0.3947,0.4593,139803.01,0,0,0,0.6917,0.3083,64210.86,0.5855,0.008392,1
LN000035,66,26704.84,14.2,Aposentado,712,728,16,Cartao,11496.15,4323.28,6344.76,483.22,5861.54,0.0762,21,0.3757,0.068,2.0,1372.37,0,0,0,0.0839,0.9161,4641.33,0.7094,0.006568,1
LN000036,25,117939.95,4.6,CLT,922,866,-56,Cartao,25418.09,20329.67,10933.75,2685.38,8248.38,0.2456,14,0.3929,0.0724,2.0,4836.37,0,0,0,0.0684,0.9316,7787.52,0.6186,0.002926,1
LN000037,64,57901.68,4.9,CNPJ,522,545,23,Veiculos,12886.5,4804.34,12886.5,4804.34,0.0,0.3728,36,0.1841,0.0348,0.3036,15823.26,0,0,0,0.5508,0.4492,4804.34,0.5563,0.01177,1
LN000038,63,17607.91,7.2,Autonomo,557,519,-38,Empresarial,36906.48,28938.57,8396.54,3827.02,4569.53,0.4558,13,0.248,0.6903,2.0,3575.56,0,0,1,0.2425,0.7575,6797.12,0.65,0.23163,3
LN000039,35,52398.18,5.4,CNPJ,594,559,-35,Imobiliario,264456.28,139874.16,264456.28,139874.16,0.0,0.5289,317,0.0748,1.1212,0.3533,395950.87,0,0,0,0.7059,0.2941,139874.16,0.6911,0.049096,1
LN000040,53,65041.72,7.5,CNPJ,553,514,-39,Pessoal,5005.35,2024.2,5005.35,2024.2,0.0,0.4044,10,0.1551,0.0131,2.0,229.07,0,0,0,0.0576,0.9424,2024.2,0.6155,0.020492,1
LN000041,30,101957.88,9.7,Autonomo,534,504,-30,Veiculos,63970.29,58219.45,63970.29,58219.45,0.0,0.9101,59,0.1544,0.2398,0.7674,75867.64,1,15,0,0.3187,0.6813,58219.45,0.6892,0.026248,1
LN000042,59,43505.4,4.8,CLT,655,536,-119,Imobiliario,177929.86,112120.07,177929.86,112120.07,0.0,0.6301,295,0.1033,1.0824,0.4166,269113.48,0,0,0,0.7814,0.2186,112120.07,0.7794,0.086556,2
LN000043,57,92796.1,7.3,CLT,777,624,-153,Imobiliario,141425.35,104387.81,141425.35,104387.81,0.0,0.7381,209,0.0926,0.4725,0.5547,188202.88,0,0,0,0.7937,0.2063,104387.81,0.6629,0.008704,2
LN000044,39,61184.08,10.2,Aposentado,665,733,68,Imobiliario,328742.11,140207.41,328742.11,140207.41,0.0,0.4265,237,0.0848,0.9625,0.3545,395543.6,2,45,0,0.723,0.277,140207.41,0.6919,0.124598,2
LN000045,25,23045.24,6.0,CLT,538,538,0,Pessoal,30985.8,18851.37,30985.8,18851.37,0.0,0.6084,39,0.2062,0.3436,2.0,3792.49,1,60,0,0.0977,0.9023,18851.37,0.7288,0.082331,2
LN000046,70,21593.37,4.2,Autonomo,624,568,-56,Imobiliario,430874.31,199775.85,430874.31,199775.85,0.0,0.4637,127,0.0995,2.0,0.3099,644617.53,0,0,0,0.663,0.337,199775.85,0.4856,0.055645,1
LN000047,44,112382.55,6.3,CLT,514,578,64,Empresarial,29045.43,7232.58,28921.3,19392.52,9528.78,0.6705,38,0.3093,0.027,2.0,1278.0,0,0,0,0.3429,0.6571,25801.19,0.6726,0.02152,1
LN000048,66,117876.14,8.2,CLT,777,976,199,Imobiliario,502409.1,216286.57,502409.1,216286.57,0.0,0.4305,96,0.084,0.7706,0.2941,735498.7,1,30,0,0.5994,0.4006,216286.57,0.6643,0.008544,2
LN000049,55,66828.91,3.1,CLT,841,713,-128,Veiculos,45461.55,24027.69,45461.55,24027.69,0.0,0.5285,67,0.1115,0.151,0.4171,57601.09,0,0,0,0.6477,0.3523,24027.69,0.6316,0.003695,2
LN000050,60,143230.34,14.3,Autonomo,442,424,-18,Veiculos,33389.92,23880.02,33389.92,23880.02,0.0,0.7152,26,0.159,0.07,0.6068,39352.91,1,60,0,0.5202,0.4798,23880.02,0.6042,0.087393,2
LN000051,59,107666.78,8.5,CLT,679,714,35,Empresarial,67938.25,58775.82,5989.29,2164.38,3824.91,0.3614,28,0.2565,0.2293,2.0,7236.84,0,0,0,0.1819,0.8181,4529.64,0.6184,0.007113,1
LN000052,31,84487.48,6.3,CLT,548,410,-138,Imobiliario,439807.55,216686.82,439807.55,216686.82,0.0,0.4927,233,0.0991,1.0772,0.4229,512346.14,0,0,0,0.73,0.27,216686.82,0.574,0.151592,2
LN000053,40,29960.87,3.5,CLT,658,528,-130,Veiculos,11733.4,7646.12,11733.4,7646.12,0.0,0.6517,45,0.1419,0.1072,0.5705,13402.67,0,0,0,0.6575,0.3425,7646.12,0.677,0.006428,2
LN000054,45,166946.5,13.2,CLT,638,694,56,Pessoal,27141.39,22665.53,27141.39,22665.53,0.0,0.8351,12,0.2904,0.057,2.0,1756.07,0,0,0,0.0395,0.9605,22665.53,0.6206,0.006156,1
LN000055,46,76772.05,19.8,CLT,475,455,-20,Imobiliario,253351.0,213530.13,253351.0,213530.13,0.0,0.8428,110,0.0913,1.1682,0.6143,347585.37,0,0,0,0.7757,0.2243,213530.13,0.6829,0.070455,1
LN000056,24,42159.06,7.1,Autonomo,807,739,-68,Veiculos,44087.84,27728.64,44087.84,27728.64,0.0,0.6289,22,0.0877,0.2762,0.4794,57843.35,0,0,0,0.3132,0.6868,27728.64,0.6648,0.002254,1
LN000057,49,35088.35,27.8,Servidor_Publico,630,491,-139,Imobiliario,385627.86,149033.18,385627.86,149033.18,0.0,0.3865,194,0.0673,1.7839,0.3316,449423.07,1,30,0,0.6102,0.3898,149033.18,0.622,0.061107,2
LN000058,29,64017.35,9.9,CLT,588,597,9,Empresarial,163642.91,102795.64,20520.56,11669.72,8850.84,0.5687,8,0.135,0.6744,2.0,1526.6,0,0,0,0.2063,0.7937,16749.0,0.5739,0.12811,1
